Transaction_ID,Fraud_Flag
CTID89444954,1
CTID74622799,1
CTID12270763,1
CTID64086363,1
CTID62223162,1
CTID27909386,1
CTID50406334,1
CTID22173416,1
CTID47704901,1
CTID62939440,1
CTID24773824,1
CTID93117981,1
CTID13413081,1
CTID90490664,1
CTID47115605,1
CTID44158779,1
CTID98844242,1
CTID70746134,1
CTID22840009,1
CTID20441727,1
CTID34574410,1
CTID78354381,1
CTID66880370,1
CTID33803433,1
CTID42582298,1
CTID62387394,1
CTID16281374,1
CTID88595832,1
CTID94826426,1
CTID22365645,1
CTID95772090,1
CTID77342588,1
CTID79757260,1
CTID78032595,1
CTID26728097,1
CTID33216845,1
CTID61076151,1
CTID22551058,1
CTID45102523,1
CTID96431006,1
CTID62324217,1
CTID46670290,1
CTID63762180,1
CTID41847490,1
CTID85930060,1
CTID32748814,1
CTID38789752,1
CTID16494208,1
CTID32485123,1
CTID45385078,1
CTID69015818,1
CTID57388215,1
CTID91791808,1
CTID71795114,1
CTID35117922,1
CTID40756256,1
CTID12380140,1
CTID16570938,1
CTID78635363,1
CTID61289449,1
CTID41449366,1
CTID54759604,1
CTID15294451,1
CTID36730246,1
CTID46160809,1
CTID14858861,1
CTID87290613,1
